Word,Frequency
the,217
to,157
and,153
is,113
I,109
in,100
a,97
of,96
this,76
you,75
it,74
.,67
for,62
with,60
on,50
recipe,44
so,40
are,39
have,39
make,38
my,35
love,33
that,33
can,31
our,30
at,29
but,29
This,29
not,28
me,25
delicious,25
your,25
Looks,25
from,25
out,24
&,22
how,21
get,21
we,20
Love,20
like,20
just,19
want,19
or,19
as,18
these,18
+,18
try,18
version,18
#food,18
The,17
So,17
amazing,17
them,17
it's,16
Christmas,16
#foodie,16
tsp,16
watch,15
an,15
#foodporn,15
down,14
by,14
cream,14
be,14
recipes,14
see,13
What,13
Recipe,13
bacon,12
video,12
Oh,12
all,12
We,12
food,12
wait,12
easy,12
now,12
always,11
they,11
she,11
special,11
more,11
about,11
he,11
should,11
Wow,11
yummy,11
looks,11
follow,11
shawarma,11
#foodiesofinstagram,11
(Head,10
IGTV,10
clickable,10
link!),10
what,10
her,10
many,10
their,10
Get,10
use,10
if,10
You,10
link,10
Chef,10
i,10
really,10
one,10
was,10
will,10
#streetfood,10
#foodieincarnate,10
#indianfood,10
people,9
cast,9
it’s,9
In,9
too,9
way,9
bakers,9
first,9
two,9
How,9
1,9
need,9
dish,9
every,9
right,9
Delicious,9
much,9
look,9
has,9
best,9
which,9
Chicken,9
#recipes,9
#sodelhi,9
#newdelhi,9
#foodtalkindia,9
#delhigram,9
#indianstreetfood,9
#delhifoodie,9
still,8
It’s,8
It's,8
been,8
I’m,8
put,8
good,8
simple,8
New,8
Click,8
favorite,8
sauce,8
eat,8
those,8
Can,8
made,8
hi,8
"sauce,",8
then,8
various,8
know,8
#mumbaistreetfood,8
u,8
had,8
#delhifoodblogger,8
#foodlover,8
#delhistreetfood,8
#nycfood,8
keto,8
us,7
say,7
Why,7
show.,7
days,7
A,7
add,7
Thank,7
also,7
Very,7
4,7
Is,7
bio,7
recipe.,7
My,7
garlic,7
If,7
most,7
it.,7
some,7
Please,7
pizza,7
Amazing,7
Try,7
Foodie,7
#foodgasm,7
#foodpornshare,7
#foodgram,7
Hello,7
2,7
Hummus,7
~,6
bacon!,6
"#TheKitchen,",6
Saturdays,6
11a|10c,6
recipe:,6
Food,6
here,6
Bacon,6
Sunny's,6
let,6
kitchen,6
@DuffGoldman,6
brushstroke,6
hour,6
premiere,6
#KidsBakingChampionship,6
up,6
are.,6
happened,6
season,6
Valerie,6
"""",6
show,6
Brussels,6
his,6
fat,6
water,6
only,6
Do,6
Jan.,6
details,6
#discoveryplus,6
single,6
it!,6
take,6
famous,6
@nataliesideserf,6
yummy!,6
fresh,6
great,6
could,6
into,6
@fadedcrab,6
yams,6
am,6
taste,6
even,6
@sanjyotkeer,6
prepped,6
super,6
prep,6
@morphyrichardsindia,6
#recipe,6
Dubai,6
something,6
ur,6
share,6
lot,6
YouTube:,6
Incarnate,6
#streetfoodindia,6
#foodmaniacindia,6
#nycfoodie,6
#yum,6
comments,5
Just,5
course,5
started,5
enter,5
create,5
no,5
",",5
It,5
Make,5
drizzle,5
red,5
pepper,5
Great,5
ice,5
Baking,5
Year,5
Add,5
family,5
One,5
sweet,5
Too,5
check,5
cooked,5
Then,5
Follow,5
YouTube,5
Check,5
#sanjyotkeer,5
Shawarma,5
hot,5
Mumbai,5
other,5
making,5
Awesome,5
Pizza,5
Yummy,5
masala,5
carrots,5
ka,5
gajrela,5
beautiful,5
hai,5
tasty,5
Joshi,5
Dahi,5
5,5
Will,5
dosa,5
ki,5
dough,5
Foodies!,5
lo,5
cup,5
sandwich,5
you’re,5
#christmas,5
(with,4
whole,4
holidays,4
enjoy,4
came,4
come,4
Take,4
such,4
day!,4
channel.,4
girl,4
says,4
excited,4
incredible,4
took,4
Gosh,4
...,4
wearing,4
enough,4
straight,4
Don't,4
>,4
starting,4
Can’t,4
that's,4
ideas,4
dinner,4
weird,4
dishes!,4
And,4
Our,4
until,4
"garlicky,",4
next,4
buy,4
recipe!,4
already,4
don’t,4
full,4
when,4
Super,4
over,4
NYE,4
paneer,4
Facebook!,4
now!,4
its,4
home,4
Cheers!,4
Yum,4
yum,4
mind,4
There,4
#foodstagram,4
#foodstylist,4
veg,4
quick,4
please,4
Sauce,4
yet,4
healthy,4
waiting,4
easily,4
Indian,4
Your,4
style,4
gajar,4
halwa,4
simply,4
where,4
carrot,4
different,4
toh,4
wow,4
#gurgaonfood,4
#delhi,4
#delhifood,4
#mumbaifood,4
dahi,4
thali,4
go,4
any,4
well,4
Apple,4
Cinnamon,4
Spicy,4
Schezwan,4
Vismai,4
tahini,4
Tahini,4
#nyceats,4
#newyorkcity,4
weight,4
#nyc,4
#supportlocal,4
page,4
Merry,4
#merrychristmas,4
Glazed,3
Bazon,3
@sunnyanderson),3
As,3
far,3
we're,3
"concerned,",3
WEEK,3
part,3
excuse,3
while,3
indulge,3
@sunnyanderson's,3
glazed,3
Save,3
http://foodtv.com/3nGa8xt,3
network,3
ripping,3
chefs,3
"apart,",3
scroll,3
past,3
people.,3
watching,3
make!,3
read,3
hateful,3
comments...🙄🤦🏾‍♀️😏,3
GZ,3
grabbing,3
fork,3
knife,3
strip,3
hard,3
NO,3
Yo,3
bacon.,3
notch,3
looked,3
burnt,3
AF,3
loud???,3
never,3
anything,3
she’s,3
on.,3
BAE-CON,3
"opinion,",3
"loud,",3
mates,3
dull.,3
causes,3
dissonance,3
appealing,3
Bad,3
casting,3
pairing,3
thyme,3
clutch”,3
hilarious,3
Hold,3
"on,",3
turn,3
volume,3
first.,3
Of,3
holidays!,3
12,3
